t,X,Y,Z,V_X,V_Y,V_Z
0.000000000000000000e+00,9.092427062988281250e+01,-6.971858024597167969e+00,-2.697757530212402344e+01,1.023415159863801094e+01,1.155665007570797709e+00,-1.769913694311685326e+00
0.000000000000000000e+00,9.196118927001953125e+01,-7.048455715179443359e+00,-2.702499389648437500e+01,1.022779625584065322e+01,1.841129151800896979e+00,-1.964305944811143068e+00
0.000000000000000000e+00,9.300537872314453125e+01,-7.166356563568115234e+00,-2.710271453857421875e+01,1.016415624279800589e+01,2.628731507454223681e+00,-2.101266788649024164e+00
0.000000000000000000e+00,9.405262756347656250e+01,-7.336204528808593750e+00,-2.721278190612792969e+01,1.002645073760376349e+01,3.453995643838421614e+00,-2.229639577239217907e+00
0.000000000000000000e+00,9.512858581542968750e+01,-7.574900627136230469e+00,-2.735998535156250000e+01,9.817215748372825956e+00,4.267828033934207177e+00,-2.366715796660781468e+00
0.000000000000000000e+00,9.619424438476562500e+01,-7.884498596191406250e+00,-2.753806114196777344e+01,9.570104301655254275e+00,4.976830524680210033e+00,-2.523736061130347430e+00
0.000000000000000000e+00,9.724225616455078125e+01,-8.268904685974121094e+00,-2.774357223510742188e+01,9.320821957919582346e+00,5.568292905636635481e+00,-2.683747848093805288e+00
0.000000000000000000e+00,9.826557159423828125e+01,-8.729996681213378906e+00,-2.797347450256347656e+01,9.098235580052779881e+00,6.037610819010253316e+00,-2.868408457896082897e+00
0.000000000000000000e+00,9.925750732421875000e+01,-9.268559455871582031e+00,-2.822617340087890625e+01,8.918141885092358834e+00,6.402533073231129634e+00,-3.066519341107442287e+00
0.000000000000000000e+00,1.002119369506835938e+02,-9.883725166320800781e+00,-2.849992370605468750e+01,8.782507433337556790e+00,6.687870628559521968e+00,-3.265386484026679526e+00
0.000000000000000000e+00,1.011232910156250000e+02,-1.057339191436767578e+01,-2.879280853271484375e+01,8.683472005627397294e+00,6.913832649326915103e+00,-3.420233724154888577e+00
0.000000000000000000e+00,1.019937210083007812e+02,-1.132248401641845703e+01,-2.908333969116210938e+01,8.669898636839342032e+00,7.015465711834341533e+00,-3.183173899375900451e+00
0.000000000000000000e+00,1.028291778564453125e+02,-1.211329460144042969e+01,-2.934582519531250000e+01,8.790679678070850045e+00,6.925386558032180950e+00,-2.799385316522459810e+00
0.000000000000000000e+00,1.036072463989257812e+02,-1.291438102722167969e+01,-2.956650543212890625e+01,9.038107977209939747e+00,6.606325630358366396e+00,-2.447027019688398752e+00
0.000000000000000000e+00,1.043553009033203125e+02,-1.374213886260986328e+01,-2.974704170227050781e+01,9.373538157505599600e+00,6.098151299328675279e+00,-2.082609431653190679e+00
0.000000000000000000e+00,1.050974044799804688e+02,-1.461733436584472656e+01,-2.988658142089843750e+01,9.749324004500616425e+00,5.449817962808962690e+00,-1.683687777258019436e+00
0.000000000000000000e+00,1.058118896484375000e+02,-1.551191234588623047e+01,-2.997882843017578125e+01,1.009925466436432728e+01,4.743095460684105369e+00,-1.290312306331268477e+00
0.000000000000000000e+00,1.064992446899414062e+02,-1.642393112182617188e+01,-3.002648353576660156e+01,1.038768753232823805e+01,4.044686195951589625e+00,-9.221744884812038690e-01
0.000000000000000000e+00,1.071595764160156250e+02,-1.735206604003906250e+01,-3.003359222412109375e+01,1.060289522876962565e+01,3.410065928155335158e+00,-5.902799286052218264e-01
0.000000000000000000e+00,1.077746658325195312e+02,-1.826730537414550781e+01,-3.000594329833984375e+01,1.074731922561356257e+01,2.890311202749832109e+00,-3.057593568721670430e-01
0.000000000000000000e+00,1.083644943237304688e+02,-1.919584274291992188e+01,-2.994838333129882812e+01,1.084178709453876088e+01,2.479589211759138934e+00,-5.814883181568158976e-02
0.000000000000000000e+00,1.089461364746093750e+02,-2.016555213928222656e+01,-2.986182785034179688e+01,1.090238751278102036e+01,2.167035332152177585e+00,1.605832660200672835e-01
0.000000000000000000e+00,1.094860076904296875e+02,-2.111858558654785156e+01,-2.975498008728027344e+01,1.093826806779901517e+01,1.954750795360415960e+00,3.423278527924287218e-01
