t, X, Y, Z, V_X, V_Y, V_Z, traj_id
0.000000000000000000e+00,3.364183044433593506e-01,-6.879891395568846213e-02,1.356873321533203169e+00,6.997999268050200783e+00,-2.414386933740782393e+00,-2.330211572937587405e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.439492797851562700e-01,-7.018265247344969426e-02,1.363158187866210902e+00,7.196935618930812240e+00,-2.278191204468692721e+00,-2.158805464595439982e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.518425750732421808e-01,-7.145265579223632202e-02,1.368939514160156357e+00,7.417900128250733083e+00,-2.010746629818770614e+00,-1.984697159368243202e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.598556518554687500e-01,-7.257424354553222712e-02,1.374101028442383132e+00,7.624592277494423698e+00,-1.675280393003395707e+00,-1.822308209515375976e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.679732131958008412e-01,-7.355693817138671264e-02,1.378733711242675408e+00,7.798282674985214769e+00,-1.334507701047870754e+00,-1.675642480372843801e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.759383010864257302e-01,-7.438665866851808250e-02,1.382803802490234046e+00,7.931191903225907502e+00,-1.045858839663124318e+00,-1.549243218700159019e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.842217636108397616e-01,-7.512236118316648059e-02,1.386629791259765376e+00,8.036364180715288796e+00,-8.196241704130291517e-01,-1.435048891498238000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.925724029541016180e-01,-7.574580192565917580e-02,1.390145187377929581e+00,8.117295579807144890e+00,-6.725601308392530342e-01,-1.335878945497523951e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.009805679321288840e-01,-7.626545906066894975e-02,1.393401260375976669e+00,8.181035837902593144e+00,-5.945456396296934232e-01,-1.250019995303540021e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.094377899169920898e-01,-7.668948650360107866e-02,1.396441040039061887e+00,8.232529823194266072e+00,-5.655567713746401104e-01,-1.175772033535396721e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.179371261596679932e-01,-7.702565670013426791e-02,1.399300003051758168e+00,8.275125826455544953e+00,-5.629186305403299784e-01,-1.111568539276592604e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.262208557128905340e-01,-7.727474689483641856e-02,1.401928825378418342e+00,8.310255278046728478e+00,-5.668258755922799264e-01,-1.057464280684379032e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.347857284545897927e-01,-7.745829105377195767e-02,1.404509696960449139e+00,8.341785359485747620e+00,-5.641205814817664699e-01,-1.009172000679759984e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.433765411376953125e-01,-7.757349967956543579e-02,1.406980133056640714e+00,8.369725007918624726e+00,-5.479265745740345972e-01,-9.673073630812869528e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.519893264770507568e-01,-7.762561798095701793e-02,1.409355125427245836e+00,8.394645771541677348e+00,-5.176261270827549055e-01,-9.309525473777573445e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.603665924072265492e-01,-7.762025356292723277e-02,1.411581115722656321e+00,8.416113001122786486e+00,-4.781750333956428234e-01,-9.001382079603452713e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.690130615234374134e-01,-7.756096839904787210e-02,1.413802413940429492e+00,8.435457731371336365e+00,-4.327017537592364183e-01,-8.724242954858804078e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.776725769042968195e-01,-7.745061874389648493e-02,1.415958824157715235e+00,8.452054548470599116e+00,-3.880971278344689801e-01,-8.481454086422426375e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.860878753662108420e-01,-7.729756832122801347e-02,1.417995414733886461e+00,8.465713126236408925e+00,-3.500193080796244471e-01,-8.273252312903416339e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.947671127319335782e-01,-7.709516048431395985e-02,1.420040817260742161e+00,8.477544435018465663e+00,-3.187977790272152334e-01,-8.083108709421608085e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.031982421874999778e-01,-7.685744762420654297e-02,1.421977844238281330e+00,8.487163392570877818e+00,-2.970967206393405613e-01,-7.917887385659423405e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.118907928466797097e-01,-7.657194137573240800e-02,1.423927001953124938e+00,8.495462269073888351e+00,-2.829552500425993600e-01,-7.764152995090769505e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.203323745727539418e-01,-7.625697135925295356e-02,1.425775108337402619e+00,8.502226536887366848e+00,-2.757517604212993412e-01,-7.628040279701191473e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.290335845947266025e-01,-7.589464187622070590e-02,1.427635002136230513e+00,8.508093597289850152e+00,-2.733507852916299830e-01,-7.497638171247537064e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.377377700805664462e-01,-7.549480915069581299e-02,1.429450378417968404e+00,8.513034771540931800e+00,-2.745556692607982185e-01,-7.374550421282716206e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.461879348754883345e-01,-7.507118225097655917e-02,1.431168823242187305e+00,8.517078886813502336e+00,-2.783262125338267778e-01,-7.260529980457367527e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.546394348144531028e-01,-7.461237430572509322e-02,1.432842407226561976e+00,8.520468049727391247e+00,-2.848264674352469772e-01,-7.148312992735716964e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.630913543701172586e-01,-7.411748409271240456e-02,1.434467811584472674e+00,8.523225906519376949e+00,-2.952395245113743627e-01,-7.034209746042165978e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.717993927001951970e-01,-7.356795787811278020e-02,1.436087265014648340e+00,8.525352287927463024e+00,-3.128016230500381134e-01,-6.906007998302231554e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.805062484741211337e-01,-7.297454833984373668e-02,1.437642517089843697e+00,8.526535123331596466e+00,-3.423677780719487362e-01,-6.771863810522268379e-01,0.000000000000000000e+00
